attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
cruise	Identifier for research cruise generally including abbreviation for research vessel and voyage number	character			NA	Missing value
date_time_utc	Mean of bottle closure date-time for all rosette bottles included in measurement	Date		YYYY-MM-DD hh:mm:ss	NA	Missing value
latitude	Mean of ship's latitude when rosette bottles closed	numeric	degree		NA	Missing value
longitude	Mean of ship's longitude when rosette bottles closed	numeric	degree		NA	Missing value
station	NES-LTER standard station from which sample was collected	character			NA	Missing value
cast	CTD rosette cast number chronological per cruise	numeric	dimensionless		NA	Missing value
filter_size	Size fraction with filter and when applicable prefilter pore size in micrometers	categorical				
integrated_npp_mg_m2_day	Vertically-integrated net primary productivity measured as uptake rate of carbon per unit area of water per day	numeric	milligramPerMeterSquaredPerDay			
iode_quality_flag	IODE Quality Flag primary level	categorical				
daytime_Y_N	Casts with surface PAR above 10 micromol photons/m2/s classified as daytime	categorical				
k_meas_per_m	Measured light extinction coefficient	numeric	perMeter		NA	Missing value
beam_atten_0_10	Average beam attenuation (At) measured by ship's transmissometer within the upper 10 m of water column	numeric	perMeter		NA	Missing value
k_calc_per_m	Light extinction coefficient calculated from the measured daytime light extinction coefficient and beam attenuation	numeric	perMeter		NA	Missing value
